,Country,City,Code,Name,Airport
0,Alemania,Berlín,THF,Tempelhof,"Alemania, Berlín, Tempelhof"
1,Alemania,Berlín,SXF,Schonefeld,"Alemania, Berlín, Schonefeld"
2,Alemania,Colonia,CGN,Colonia,"Alemania, Colonia, Colonia"
3,Alemania,Dusseldorf,DUS,Dusseldorf,"Alemania, Dusseldorf, Dusseldorf"
4,Alemania,Frankfurt,FRA,Frankfurt Int.,"Alemania, Frankfurt, Frankfurt Int."
5,Alemania,Hamburgo,HAM,Fuhlsbuettel,"Alemania, Hamburgo, Fuhlsbuettel"
6,Alemania,Munich,MUC,Franz Strauss,"Alemania, Munich, Franz Strauss"
7,Alemania,Stuttgart,STR,Echterdingen,"Alemania, Stuttgart, Echterdingen"
8,Angola,Luanda,LAD,4 de Fevereiro,"Angola, Luanda, 4 de Fevereiro"
9,Antillas Hol.,Curacao,CUR,Apto. Hato,"Antillas Hol., Curacao, Apto. Hato"
10,Antigua,Antigua,ANU,V. C. Bird Int.,"Antigua, Antigua, V. C. Bird Int."
11,Argelia,Argel,ALG,Houari-Boumedienne,"Argelia, Argel, Houari-Boumedienne"
12,Argentina,Buenos Aires,BUE,Ezeiza,"Argentina, Buenos Aires, Ezeiza"
13,Aruba,Aruba,AUA,Reina Beatrix,"Aruba, Aruba, Reina Beatrix"
14,Australia,Melbourne,MEL,Tullamarine,"Australia, Melbourne, Tullamarine"
15,Australia,Sydney,SYD,Kingsford Smith,"Australia, Sydney, Kingsford Smith"
16,Austria,Graz,GRZ,Thalerhof,"Austria, Graz, Thalerhof"
17,Austria,Viena,VIE,Viena Int.,"Austria, Viena, Viena Int."
18,Bahamas,Nassau,NAS,International,"Bahamas, Nassau, International"
19,Bahamas,Nassau,PID,Paradise Island,"Bahamas, Nassau, Paradise Island"
20,Barbados,Barbados,BGI,G. Adams Int.,"Barbados, Barbados, G. Adams Int."
21,Bélgica,Bruselas,BRU,National,"Bélgica, Bruselas, National"
22,Bolivia,Cochabamba,CBB,Wilsterman,"Bolivia, Cochabamba, Wilsterman"
23,Bolivia,La Paz,LPB,El Alto,"Bolivia, La Paz, El Alto"
24,Bolivia,Sta. Cruz de la Sierra,VVI,Viru Viru Int.,"Bolivia, Sta. Cruz de la Sierra, Viru Viru Int."
25,Bosnia,Sarajevo,SJJ,Butmir,"Bosnia, Sarajevo, Butmir"
26,Brasil,Belem,BEL,Val de Cans,"Brasil, Belem, Val de Cans"
27,Brasil,Belo Horizonte,CNF,Tancredo Neves,"Brasil, Belo Horizonte, Tancredo Neves"
28,Brasil,Belo Horizonte,PLU,Pampulha,"Brasil, Belo Horizonte, Pampulha"
29,Brasil,Brasilia,BSB,International,"Brasil, Brasilia, International"
30,Brasil,Campinas,CPQ,International,"Brasil, Campinas, International"
31,Brasil,Curitiba,CWB,Alfonso Pena,"Brasil, Curitiba, Alfonso Pena"
32,Brasil,Florianópolis,FLN,Hercilio Luz,"Brasil, Florianópolis, Hercilio Luz"
33,Brasil,Fortaleza,FOR,Pinto Martins,"Brasil, Fortaleza, Pinto Martins"
34,Brasil,Foz de Iguazú,IGU,Cataratas,"Brasil, Foz de Iguazú, Cataratas"
35,Brasil,Ilheus,IOS,Eduardo Gomes,"Brasil, Ilheus, Eduardo Gomes"
36,Brasil,Maceió,MCZ,Palmares,"Brasil, Maceió, Palmares"
37,Brasil,Manaos,MAO,Eduardo Gómes Int.,"Brasil, Manaos, Eduardo Gómes Int."
38,Brasil,Porto Alegre,POA,Salgado Filho,"Brasil, Porto Alegre, Salgado Filho"
39,Brasil,Porto Velho,PVH,Belmonte,"Brasil, Porto Velho, Belmonte"
40,Brasil,Recife,REC,Guararapes Int.,"Brasil, Recife, Guararapes Int."
41,Brasil,Río de Janeiro,GIG,International,"Brasil, Río de Janeiro, International"
42,Brasil,Río de Janeiro,SDU,Santos Dumont,"Brasil, Río de Janeiro, Santos Dumont"
43,Brasil,Salvador,SSA,Luis E. Magalhaes,"Brasil, Salvador, Luis E. Magalhaes"
44,Brasil,Sao Luiz,SLZ,Mal Cunha Macha,"Brasil, Sao Luiz, Mal Cunha Macha"
45,Brasil,Sao Paulo,CGH,Congonhas,"Brasil, Sao Paulo, Congonhas"
46,Brasil,Sao Paulo,GRU,Guarulhos,"Brasil, Sao Paulo, Guarulhos"
47,Brasil,Sao Paulo,VCP,Viracopos,"Brasil, Sao Paulo, Viracopos"
48,Brasil,Tabatinga,TBT,International,"Brasil, Tabatinga, International"
49,Bulgaria,Sofía,SOF,Vrazhdebna,"Bulgaria, Sofía, Vrazhdebna"
50,Canadá,Montreal,YUL,Dorval,"Canadá, Montreal, Dorval"
51,Canadá,Montreal,YMX,Mirabel Int.,"Canadá, Montreal, Mirabel Int."
52,Canadá,Ottawa,YOW,International,"Canadá, Ottawa, International"
53,Canadá,Toronto,YYZ,Pearson Int.,"Canadá, Toronto, Pearson Int."
54,Canadá,Toronto,YKZ,Buttonville,"Canadá, Toronto, Buttonville"
55,Canadá,Vancouver,YVR,International,"Canadá, Vancouver, International"
56,CEI,Moscú,SVO,Sheremetyevo,"CEI, Moscú, Sheremetyevo"
57,CEI,Moscú,DME,Domodedovo,"CEI, Moscú, Domodedovo"
58,CEI,Moscú,VKO,Vnukovo,"CEI, Moscú, Vnukovo"
59,Chile,Antofagasta,ANF,Cerro Moreno,"Chile, Antofagasta, Cerro Moreno"
60,Chile,Arica,ARI,Chacalluta,"Chile, Arica, Chacalluta"
61,Chile,Iquique,IQQ,Diego Aracena,"Chile, Iquique, Diego Aracena"
62,Chile,Puerto Montt,PMC,Tepual,"Chile, Puerto Montt, Tepual"
63,Chile,Punta Arenas,PUQ,Presidente Ibáñez,"Chile, Punta Arenas, Presidente Ibáñez"
64,Chile,Santiago de Chile,SCL,A. M. Benítez,"Chile, Santiago de Chile, A. M. Benítez"
65,China,Beijing,BJS,Beijing,"China, Beijing, Beijing"
66,China,Shanghai,SHA,Hongqiao,"China, Shanghai, Hongqiao"
67,Colombia,Barranquilla,BAQ,E. Cortissoz,"Colombia, Barranquilla, E. Cortissoz"
68,Colombia,Bogotá,BOG,El Dorado,"Colombia, Bogotá, El Dorado"
69,Colombia,Cali,CLO,A. Bonilla Aragón,"Colombia, Cali, A. Bonilla Aragón"
70,Colombia,Cartagena,CTG,Rafael Nuñez Int.,"Colombia, Cartagena, Rafael Nuñez Int."
71,Colombia,Medellín,MDE,José María Cordova,"Colombia, Medellín, José María Cordova"
72,Congo,Brazzaville,BZV,Maya Maya,"Congo, Brazzaville, Maya Maya"
73,Corea,Seúl,SEL,Incheon Internacional,"Corea, Seúl, Incheon Internacional"
